speedrun,run_id,step,val_loss,train_time_ms
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,0,10.83,0
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,250,4.6033,8707
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,500,4.2987,17268
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,750,4.0175,29905
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,1000,3.7828,45342
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,1250,3.5407,61991
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,1500,3.4071,84002
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,1750,3.3067,105997
2025-12-29_VeSkipGates,2851d7dc-d6a5-4e74-8623-57031425db16,1845,3.28,114369
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,0,10.8284,0
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,250,4.6111,8676
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,500,4.2847,17223
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,750,4.0301,29840
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,1000,3.7747,45261
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,1250,3.5363,61874
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,1500,3.4038,83860
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,1750,3.3048,105845
2025-12-29_VeSkipGates,dbb767ac-4ec7-40de-8398-d09946c839fa,1845,3.2784,114220
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,0,10.8309,0
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,250,4.62,8824
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,500,4.2807,17377
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,750,4.0266,30034
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,1000,3.7712,45500
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,1250,3.533,62145
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,1500,3.4024,84142
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,1750,3.3037,106135
2025-12-29_VeSkipGates,3e55ba7b-e7ff-479c-b736-3532905af2df,1845,3.279,114508
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,0,10.8309,0
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,250,4.6199,8767
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,500,4.3018,17310
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,750,4.0156,29917
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,1000,3.7869,45325
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,1250,3.5345,61950
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,1500,3.4032,83961
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,1750,3.304,105972
2025-12-29_VeSkipGates,6ce339bb-580e-4a27-9ac0-d5bda9783033,1845,3.2774,114373
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,0,10.8273,0
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,250,4.599,8683
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,500,4.2887,17250
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,750,4.0129,29893
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,1000,3.7737,45319
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,1250,3.5335,61954
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,1500,3.4029,83973
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,1750,3.3044,105975
2025-12-29_VeSkipGates,7f9448a2-e58d-4bb2-a868-996d41287fd5,1845,3.2779,114343
2025-12-29_VeSkipGates,6df58830-05f6-4dd5-9136-2b3828f70859,0,10.83,0
2025-12-29_VeSkipGates,6df58830-05f6-4dd5-9136-2b3828f70859,250,4.6095,8823
2025-12-29_VeSkipGates,6df58830-05f6-4dd5-9136-2b3828f70859,500,4.2937,17384
